TMAX,TMIN,ETP
22.4,17.4,3.32505423005314
24.1,15.7,3.32488283827067
21.2,15.8,3.09076684057773
26.2,17.8,3.67520752004342
24.2,17.4,3.4744046022733
26.2,15.8,3.50741526018492
27.4,15.6,3.59045843224783
27.6,15.4,3.58992938576244
26.8,16.6,3.6227249282793
25.8,15.2,3.42176007854888
27.8,15.2,3.58794528496926
28.8,15.8,3.72061857939864
28.8,15.5,3.69468918894585
30.6,15.1,3.81043799512214
30.2,15.1,3.77599749292398
31.6,16.6,4.01647676194523
25.2,16,3.43201936093895
30.4,17.6,3.99702846566614
30.8,16.5,3.93721794209873
26.3,17.4,3.63605545311348
26.2,17.3,3.61782126755354
28.5,18.6,3.91539148649105
26.2,17.6,3.63925151271335
27,18.7,3.79511262300319
27.4,16.6,3.65189322500662
26.3,18.5,3.71609095870722
25.8,17.7,3.60600301851316
28.8,16.4,3.7444576907043
29.6,14.6,3.65907370406097
28.3,16.4,3.69776332453482
26.2,18.3,3.67839339794316
26.8,15.9,3.52676127173053
27.8,17.4,3.73009307505615
26.7,16.7,3.57838120630882
28.4,16.2,3.67391872847732
27.2,17.8,3.70328179449201
28,17.8,3.76530892957804
26.2,18.4,3.66278814069119
25.4,18.4,3.59313354938698
27.3,16.6,3.5972131740424
25.6,17.6,3.53563566348375
26.4,17.4,3.58029884015601
26.8,17.2,3.5920152292529
25.9,17.1,3.50568436652936
28,15,3.50082049162684
28.4,14.8,3.51204416708559
28.8,14,3.47433969582126
28.9,13.8,3.46087394184276
27,16,3.47962574407177
26.8,16.2,3.47388282657883
27,16.6,3.5163490391936
27.3,17.6,3.61481818492504
27.6,14.2,3.35912833491856
28.6,14.5,3.45710905719098
29,14.4,3.47445008611294
29.7,15,3.57140588543699
28.2,16.4,3.55612043653689
28.1,15.8,3.49293419780472
26.2,17.6,3.47743042034813
24.6,17.6,3.34294506814339
25.7,17.6,3.42224402186001
25,17.2,3.32748044392266
27,17.8,3.52398970634306
26.1,17.2,3.3975944495881
27,17.6,3.49075130967275
27.8,16,3.41925813515281
28.2,15.4,3.39462080720506
26.2,14.6,3.16800015007836
25.2,17.2,3.2831020637624
24.8,16.4,3.18113796883164
26.3,17,3.33359819265154
25.7,17.4,3.30838512318742
25.2,18.5,3.34431449796995
25.8,18.8,3.40267898387422
26.6,15.7,3.21707083891911
25.2,19,3.35081544610841
24.2,17.1,3.12075948147227
26.7,16.4,3.2459644029536
24.4,17.6,3.15243734969839
25.4,17.2,3.18648715717825
28,16.6,3.72556877986075
28.3,17.7,3.84276245338239
29,16.4,3.79283872379671
29.2,18.4,3.9767936582216
29.2,16.9,3.85158324666332
31.1,16.3,3.96025853089688
30.8,14,3.74304026242473
28.4,17,3.79313191542484
29.2,17.4,3.89329929155478
27.9,17.4,3.78454664877908
28.2,17.6,3.82612145710545
25.8,17.6,3.62538596975874
